Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Green Screen Techniques for Video and Photography,"Learning to shoot green screen removes many time and budget limitations. Instead of scouting and shooting on location—a prohibitive expense for most productions—you can digitally recreate the background of your scene. This course takes you through the steps of shooting both photography and video on green screen. Authors Rich Harrington and Abba Shapiro walk you through the process of preparing a live action set, from hanging the backdrop to lighting the subject with strobes; positioning and posing your subject; and completing the scene with post-production techniques in Adobe After Effects, Photoshop, and Premiere Pro. Learn how to composite your footage against a new digital background plate, match the color and exposure, adjust focus, and perform keying for motion.<br><br>This course was created by RHED Pixel. We are pleased to offer this training in our library.",Course,2021-05-31 20:48 UTC,N/A,false,N/A,
Presenting Technical Information with Stories,"Technical information can be dry and hard to understand. But that doesn’t mean your presentation has to be. Storytelling can transform technical talks into dynamic and energizing presentations. In this course, you can learn the top reasons why audiences tune out and discover techniques to make your complex material more memorable and engaging. Instructors Poornima Vijayashanker and Karen Catlin share how to improve your public speaking skills and use storytelling to increase engagement and retention. They show how to identify a story to use, build credibility with your story, and test it to make sure it will engage your audience. The course is filled with real-world examples that show how these lessons impact actual audiences.",Course,2021-01-02 22:27 UTC,N/A,false,N/A,
Find Your Passion: How Padma Lakshmi Found Hers,"Throughout Padma Lakshmi's impressive career, she has assumed a range of roles, including model, author, and executive producer of an Emmy award-winning show: <i>Top Chef</i>. In this course, Padma digs into the life and career experiences that helped her find success. Along the way, she shares practical strategies that can help professionals of all stripes find their unique place in the world, face their fears, and seize the opportunities that come their way. Tune in to get Padma's advice for young women on how to land their dream job, as well as her thoughts on the importance of giving back to your community—both by helping to eradicate inequality and by being vulnerable about your own challenges. Plus, she shares her take on why it's essential to nurture your own health and passions throughout your journey.",Course,2020-12-18 14:59 UTC,N/A,false,N/A,
Jodi Glickman on Pitching Yourself (2018),"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2019-10-27 12:29 UTC,N/A,false,N/A,
Executive Presence on Video Conference Calls,"Learn how to shine on video conference calls. Communication consultant Jessica Chen provides expert advice to look and sound confident, collected, and smart on your next conference call or video presentation. Discover how to prepare your material, how to contribute to the call, and how to incorporate engaging visuals. Get body language, posture, and wardrobe tips to make a powerful impression. Finally, learn the technical details to building a mini ""studio"" for conducting calls, including choosing a webcam, lighting yourself, and placing a microphone for quality sound. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-03-09 05:33 UTC,N/A,false,N/A,
Revit: AR and VR Workflows,"Getting consistent results in virtual reality means keeping best practices in mind all the way through the development process. In this course, learn why virtual reality and augmented reality are good for business; which tools to use when incorporating immersive technology in your architecture, engineering, or construction practice; and how to create files in Revit that translate through to VR with predictable outcomes. As he shares how to effectively incorporate VR and AR into your practice, instructor Logan Smith details best practices for using your Revit model with VR and AR. Learn how to leverage tools such as Enscape and the Argyle app, how to efficiently create and populate materials in a project, and how to leverage 3D shortcuts to work faster and smarter in Revit.",Course,2022-10-20 20:31 UTC,N/A,false,N/A,
Excel Quick Tips (2020),"The most common questions about using Excel now have timely video answers. This set of quick tips provides helpful, condensed steps you can readily apply to keep on task—whether you're running calculations, setting up a new workbook, fixing a sheet you received, or getting tables ready for presentation. Each video is about one minute long, so you can jump in and get some helpful insights in no time.",Course,2022-04-23 03:42 UTC,N/A,false,N/A,
Fusion 360: Design for Mechatronics,"Fusion 360 is a world-leading mechanical design software. But it also has an overlooked toolset for mechanical–electrical (mechatronic) design. This course teaches engineers and designers how to create simple mechatronic projects and documentation using Fusion 360. Instructor Justin Flett recaps the basics of the software, showing how to generate simple mechanical parts for a robot. He then reviews the advanced tools for plastics and casting design—Draft, Shell, and Rib—commonly used for mechatronics enclosures and casings. He shows how to incorporate components, plus motors and fasteners, into an assembly and how to route wires and cables. Finally, Justin explains how to generate final output, including exploded views and drawing, STEP, and PDF files for use in manufacturing.",Course,2021-08-12 03:54 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2022-02-21 19:19 UTC,N/A,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2023-01-24 01:29 UTC,N/A,false,N/A,
Python: Design Patterns,"If you’re a programmer, you’re probably plenty busy, so why not save some time and avoid reinventing the wheel by reusing well-proven design solutions—software design patterns—to improve your code quality? Design patterns encourage programming efficiency and code reuse. In this course, Jungwoo Ryoo takes a look at traditional design patterns as applied to Python. Jungwoo Ryoo covers 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that can help keep your solutions consistent, complete, and correct.",Course,2022-04-15 22:12 UTC,N/A,false,N/A,
LPIC-2 Linux Engineer (201-450) Cert Prep: 2 Linux Kernel,"Are you an IT admin or network administrator needing to show your advanced understanding of and proficiency with Linux? The LPIC-2 Linux Engineer certification demonstrates an advanced proficiency with the Linux operating system and the ability to perform real-world maintenance and administrative tasks, and this series of courses from ITProTV helps you prepare to ace your certification exam. The 201-450 exam focuses on measuring and scaling system performance, configuring the Linux bootloader, advanced storage and network configurations, and other system maintenance tasks. This course, the second in the series, deals with the Linux kernel, including kernel components, kernel modules, how to compile a kernel, and how to monitor a kernel.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2022-09-29 15:11 UTC,N/A,false,N/A,
"Management Excellence at Microsoft: Model, Coach, Care","The role of the manager is arguably one of the most important roles in any organization. Providing managers with clear expectations of their role, and how it aligns with the goals of the organization is critical. In this course, learn how Microsoft, a company recognized for its leadership excellence, grows and cultivates managers with a simple and easily applied framework: Model, Coach, Care.
Join Joe Whittinghill, Corporate Vice President, Talent, Learning, and Insights, along with Satya Nadella, Kathleen Hogan, Jason Zander, Jean-Philippe Courtois, and Amy Hood as they share the approach to manager excellence and keys to empowering managers to deliver success. Through the passion and dedication of these members, explore and reflect on management behaviors and how this framework can be applied to your practice as a manager.",Course,2022-03-31 13:50 UTC,N/A,false,N/A,
Carter Beauford: Under the Table and Drumming,"Learn drumming from a world-class musician. Carter Beauford, world-famous drummer for the Dave Matthews Band, performs along with the rhythm tracks from six of the band's best songs, including ""Ants Marching"" and ""Satellite."" Carter covers such topics as left-hand lead and open-hand approaches, fills, double-bass drums, drum set and cymbal setup, time feel, background and influences, and more. He also discusses the early days of the Dave Matthews Band. These lessons are valuable for drummers of all levels, as well as any musician who plays or programs drums.<br><br>

This course was created by Alfred Music. We are pleased to offer this training in our library.",Course,2020-12-30 04:44 UTC,N/A,false,N/A,
RubberHose Animation with After Effects,"RubberHose, a rigging script for Adobe After Effects, makes it easy to animate characters that are packed with personality. In this course, instructor Angie Taylor shares what you need to know to get up and running with this powerful software. Angie kicks off the course by explaining how to create a RubberHose arm and style it with shape layer operators. She then moves on to discuss how to create legs with RubberRig and RubberPin, as well as how to construct an easy walk cycle with RubberHose and the Motion Sketch tool in After Effects. She wraps up by detailing how to fine-tune your character animation and place a character into an animated scene.",Course,2021-04-28 04:39 UTC,N/A,false,N/A,
High-Stakes Communication,"Imagine you’re in a room with a group of stakeholders, each of whom has the power to alter the course of your professional life. If you impress them, they’ll fund your project and champion you as a leader. If you falter, you’ll exit the room with a tarnished reputation. Are you prepared to handle a moment like this, even when it is unexpected? How do you set yourself up for success when so much is on the line? In this course, Jenna Lange shares techniques that can help you manage your message, your mindset, and your stakeholders when the stakes are high. Learn how to build concise, effective messages, manage your body language, avoid common pitfalls, and more. Along the way, Jenna shares case studies and surprising personal experiences that lend a real-world context to each concept.",Course,2020-12-23 01:21 UTC,N/A,false,N/A,
Practical Cybersecurity for IT Professionals,"Learn how to protect your network from cyberattacks through practical, hands-on demonstrations. In this course, Malcolm Shore shows how to use the latest tools to discourage and combat hackers, phishers, and snoops attempting to infiltrate your Windows and Linux systems. Learn what forms cyberattacks can take, as well as the two most common types of protection you can build into your system: Antivirus protection and firewalls. Then, learn how to scan your network for suspicious files, check what services are exposed on your systems, and identify vulnerabilities at the host level with Nessus scans. Malcolm also shows how to combat application-level threats, identify weak points in your web applications,  and monitor packet-level activity on your network.",Course,2022-09-20 23:09 UTC,N/A,false,N/A,
Strategic Thinking (2017),"Strategic thinking is the ability to think on a big and small scale, long and short term, and into the past and the present. While strategic thinking is a valuable skill for everyone in an organization, it becomes increasingly essential as you ascend the ladder. In fact, you may have a difficult time being promoted or succeeding as a leader without it. Yet, no one formally teaches strategic thinking—so it's critical to take the initiative and learn how to do it yourself. This course teaches managers and leaders how to use strategic thinking to guide the direction of their teams and come up with solutions to key business problems. Career and personal branding expert Dorie Clark shows you how to carve out time to think about strategy, gather data, learn from the past, create a vision for the future, and implement strategic thinking within your team.",Course,2018-08-07 19:32 UTC,N/A,false,N/A,
Product Management: Building a Product Roadmap,"A roadmap is a simple but powerful tool for product development. A strong product roadmap supports your business objectives and product strategy. It can help you make decisions and answer critical questions. For example, how do you decide which projects to pursue, and which to defer until later? How can you know which projects will be important a few months from now, when the market is changing so quickly? And how do you get all the diverse groups in your organization aligned behind one particular plan?<br><br>

This course shows how to build a product roadmap for your business—and gain critical stakeholder buy-in. See examples of what roadmaps might look like, and spend time learning the tools and techniques necessary to map the projects for your specific organization. Instructors Teg Grenager and Eldad Persky show you how to create strong, dynamic roadmaps that can help ensure that your team is working on the right projects at the right time.",Course,2018-12-05 17:03 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2819030,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2819030,Course,2020-12-26 02:40 UTC,N/A,false,N/A,
C Programming for Embedded Applications,"<p>From medical devices to a car’s dashboard to a video game controller, embedded systems are all around us. Learning to write embedded software in C will help you deliver applications that are small, efficient, and fast. </p>
<p>
In this course, instructor Eduardo Corpeño explains how C programming and the Internet of Things combine in embedded applications—software that permanently resides on a device—and demonstrates the challenges unique to this type of programming, ranging from memory, storage, and power limitations to hardware awareness.",Course,2022-11-09 15:35 UTC,N/A,false,N/A,
Introduction to Business Analytics,"Data is an extremely valuable resource. But without study, it can’t be used to create a data-informed strategy. Business analytics helps organizations leverage data to make better, more informed decisions. This course is a basic introduction that lays out the foundations of analytics in an easy-to-understand and engaging manner. Expert John David Ariansen explains why data is so powerful, what insights really matter, and how to use common analysis tools and techniques. Additionally, John David explores data source maps, database management, and all the various data sources that may be encountered. By the end of the course, you should have the skills necessary to start collecting, tracking, and analyzing a variety of data, including sales, marketing, and psychographic metrics.<br><br>

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2022-03-09 04:53 UTC,N/A,false,N/A,
Data Analytics: Graph Analytics,"Since the inception of data analytics, the way in which analysts view and interpret data has evolved tremendously. New technologies, tools, and approaches have advanced what's possible with data analytics, and network analysis is no exception. In this course, longtime data analyst and data visualization expert Heather Johnson shares the fundamentals of using graph analytics, or network analysis, when analyzing data. Heather begins by reviewing the components of a network analysis and detailing the advantages of using a graph analytics approach. She then walks through key applications of using graph analytics when reviewing data. To wrap up the course, Heather discusses career opportunities within the realm of graph analytics. Upon completion, you’ll be equipped with the knowledge of what graph analytics is and how it can be leveraged within your analytics career.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2022-05-21 04:07 UTC,N/A,false,N/A,
Learning the Python 3 Standard Library,"Python libraries can cut your development time and reduce your frustration with coding. In this Python 3 course, follow Kathryn Hodge as she walks through the Python standard library. Discover how familiarizing yourself with its facilities can make writing code in this concise, elegant language a little easier. Familiarize yourself with the library's built-in functions, math modules, and input and output modules. Learn how to get information from the Internet with the HTTP module, and more.",Course,2020-05-18 16:16 UTC,N/A,false,N/A,
Software Development Life Cycle (SDLC),"From scrum to Six Sigma, there's an abundance of options for architecting an organization's workflow. And since there's no one-size-fits-all approach to software development, it's important for software project managers, architects, and team leads to grasp the different options at their disposal before making a decision that affects the budgeting, staffing, and management of software delivery. This course zooms out on the software development landscape to provide a high-level look at a variety of software development life cycle (SDLC) approaches—from traditional methods to more modern processes. Instructor Shashi Shekhar provides a brief overview of each method, highlighting how each one is unique and can be applicable today. Learn about lean, kanban, DevOps, and more.",Course,2022-07-28 01:12 UTC,N/A,false,N/A,
Building Modern Projects with React,"Learn about some of the most important tools in the React ecosystem that help you simplify development and manage the complexities of state, side effects, structure, and styling. Instructor Shaun Wassell shows how to create a basic React project, and then explains how to add Redux, create thunks, use selectors, work with styled-components, perform testing, and more.",Course,2023-03-03 20:30 UTC,N/A,false,N/A,
DJ Patil: Ask Me Anything,"DJ Patil—the former US chief data scientist—boasts a unique perspective on the future, risks, and all-around power of data. In addition to shaping policies at the White House, he's authored influential academic papers and served as head of data products at LinkedIn, where he helped to coin the term ""data scientist."" In this weekly series, DJ tackles questions posed by LinkedIn members, diving into topics ranging from data security to the future of data science. Tune in every Wednesday for a fresh set of answers.",Course,2021-11-29 06:53 UTC,N/A,false,N/A,
How to Stop Wasting Time in Meetings,"Does anyone love meetings? Let's face it—meetings have a bad reputation, and we probably all know why. They can waste time, add confusion, and lack clear takeaways. The good news is that they don't have to be this way. In this course taught by creativity-productivity expert Samantha Bennett, Sam explains the various ways in which you can make meetings more impactful. She walks through how you can set a clear meeting purpose based on the stakeholders and the type of meeting, and how to get aligned on a direction and ensure all voices and perspectives are heard. She also imparts her rules for effective meetings, how to follow up, and how to hold folks accountable after your meeting. If you take the time to watch this course, you might just find yourself making more of your time in your next meeting.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2022-03-23 22:51 UTC,N/A,false,N/A,
Succeeding in DevOps,"DevOps engineer is one of the most in-demand tech jobs on the market. But since this role is still relatively new, aspiring DevOps engineers may have a somewhat murky understanding of what the position entails. In this course, Laura Stone clearly outlines what's expected of DevOps practitioners, as well as what it takes to become a DevOps engineer (and how to excel once you've landed the job). She begins by highlighting the basic qualifications and training needed to land a job as a DevOps practitioner. Next, she provides a technical roadmap for the skills needed to gain an entry-level role in DevOps; shares tips from a DevOps recruiter;  and provides steps for measuring progress and achieving your goals throughout your DevOps career.",Course,2021-03-25 15:06 UTC,N/A,false,N/A,
Java Object-Oriented Programming,"Are you familiar with Java but want to get the most out of your Java programs? In this course, Kathryn Hodge teaches the basics of object-oriented programming in Java, so you can write code that’s secure, scalable, and easier to troubleshoot. Kathryn begins by showing how object-oriented principles are embedded into the Java language from the first code file you create. She looks at how classes, instances, and constructors embody the idea of representing real-life objects in code. Kathryn not only shows how to apply object-oriented principles in your own programs, but also explains how Java leverages these principles behind the scenes. While many resources about object-oriented programming focus on abstract examples, the goal of this course is to get away from the abstract and focus more on practical examples of these principles in Java. Along with deep dives into the source code, this course also provides several challenges and solutions to help you apply what you’ve learned.",Course,2023-02-23 04:54 UTC,N/A,false,N/A,
Python Parallel and Concurrent Programming Part 1,"Parallel programming unlocks a program’s ability to execute multiple instructions simultaneously, increases the overall processing throughput, and is key to writing faster and more efficient applications. Curious about how parallel programming works in the real world? In this course, join instructors Barron and Olivia Stone as they introduce the basics of parallel programming in Python, providing the foundational knowledge you need to write more efficient, performant code. Barron and Olivia explain concepts like threading and mutual exclusion in a fun and informative way, relating them to everyday activities you perform in the kitchen. To cement the ideas, they demo them in action using Python. Each lesson is short and practical, driving home the theory with hands-on techniques.",Course,2021-12-27 17:41 UTC,N/A,false,N/A,
SOLIDWORKS: Designing Bearings,"Bearings are an amazing innovation in mechanical engineering. They can ensure that a part rotates or slides the way you want it to, and can ensure that parts don't move in directions they shouldn't. They can reduce friction, saving energy in your design. In this course, mechanical engineer and certified SOLIDWORKS expert Ryan Krawchuk teaches you the fundamentals of bearings, and models a series of different mechanical bearings, creating complex and dynamic multipart assemblies that behave as they would in the real world. Ryan covers three types of bearings—ball, roller, and spherical bearings—and shows how to design their constituent parts in SOLIDWORKS and combine those parts into a final bearing assembly.",Course,2023-04-05 16:14 UTC,N/A,false,N/A,
React: Building Styles with CSS Modules (2017),"React styles and CSS styles haven't always agreed in the use of inline styling. As React development has grown, developers have figured out more and more ways of smoothly integrating and maintaining a style with their code. Whether you need to style a React-based user interface or want to create dramatic animation, this course gives you the keys you need to build attractive and maintainable style using React and CSS modules.",Course,2019-10-27 04:42 UTC,N/A,false,N/A,
Interaction Design: Dashboards and Visualization,"When telling a story with data, you need the right types of visuals to convey meaning. In this course, instructor Diane Cronenwett covers techniques and best practices on applying design principles to dashboards and data visualizations. Diane shows you how to determine your user's goals, so that you can design effective dashboards. Diane walks you through several chart options, then dives into the role of color in designing an effective dashboard. She explains layout, hierarchy, dashboard interactivity, and the importance of creating a clear design for your tabular data. Diane concludes by showing you how to bring together dashboard conceptualization, layout considerations, visual design considerations, and dashboard interactivity.",Course,2022-01-20 19:24 UTC,N/A,false,N/A,
Learning SQL Programming (2017),"SQL (Structured Query Language) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a server, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats.",Course,2018-12-06 20:58 UTC,N/A,false,N/A,
Java Practice: Exception Handling,"<p>Java is a versatile, object-oriented programming language that is designed to run on a wide variety of platforms. Any machine that has a Java Virtual Machine, or JVM, can run Java apps. For that reason, Java is commonly used in a wide range of applications, including web, mobile, and desktop. In this course, instructor Todd Perkins, who has developed more than a dozen popular apps and games, uses a series of practical challenges to test your understanding of Java exception handling, so you can improve your programming problem-solving skills. Challenges include catching the exception, as well as handling an unsupported operation, a hidden exception, multiple threads, and nested exceptions.</p>
 
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-01-08 22:45 UTC,N/A,false,N/A,
Excel: Tips and Tricks (2018),"Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting and PivotTable tips, and much more.</br></br>

Note: This course was recorded on Excel for Office 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2021-02-07 03:21 UTC,N/A,false,N/A,
GPT-4: The New GPT Release and What You Need to Know,"<p>The next generation of GPT is here, and it’s time to get up to speed. The latest version, GPT-4, takes all the core functionalities of GPT-3.5 and reworks them for more reliable, consistent results and higher performance delivered at speed. Join data science consultant and AI expert Jonathan Fernandes to get a sneak peek at what’s new with GPT-4, in this approachable, easy-to-follow course designed for both technical and non-technical learners.</p><p>Explore the wide variety of tasks that GPT-4 can perform with accuracy and ease, as you develop your understanding of how large language models function in interactive natural language processing. Along the way, gather insights from Jonathan on model specifications, decoders, parameters, training tools such as PPO reinforcement learning, common limitations, HELM, and more. Upon completing this course, you’ll have the skills you need to know to get started with GPT-4 and select the model that’s best for you.</p>",Course,2023-09-03 15:50 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-01-06 14:49 UTC,N/A,false,N/A,
